genome_region,host,country,isolation,collection_date,strain
vp40,Homo sapiens,Sierra Leone,blood,2014/10/18,zaire
GP-Spike,Homo sapiens,Sierra Leone,blood,2014/10/18,zaire
GP-Small,Homo sapiens,Sierra Leone,blood,2014/10/18,zaire
GP-Second,Homo sapiens,Sierra Leone,blood,2014/10/18,zaire
vp30,Homo sapiens,Sierra Leone,blood,2014/10/18,zaire
vp24,Homo sapiens,Sierra Leone,blood,2014/10/18,zaire
L,Homo sapiens,Sierra Leone,blood,2014/10/18,zaire
NP,Homo sapiens,Sierra Leone,blood,2014/10/19,zaire
vp35,Homo sapiens,Sierra Leone,blood,2014/10/19,zaire
vp40,Homo sapiens,Sierra Leone,blood,2014/10/19,zaire
GP-Spike,Homo sapiens,Sierra Leone,blood,2014/10/19,zaire
GP-Small,Homo sapiens,Sierra Leone,blood,2014/10/19,zaire
GP-Second,Homo sapiens,Sierra Leone,blood,2014/10/19,zaire
vp30,Homo sapiens,Sierra Leone,blood,2014/10/19,zaire
vp24,Homo sapiens,Sierra Leone,blood,2014/10/19,zaire
L,Homo sapiens,Sierra Leone,blood,2014/10/19,zaire
NP,Homo sapiens,Sierra Leone,blood,2014/10/18,zaire
vp35,Homo sapiens,Sierra Leone,blood,2014/10/18,zaire
vp40,Homo sapiens,Sierra Leone,blood,2014/10/18,zaire
GP-Spike,Homo sapiens,Sierra Leone,blood,2014/10/18,zaire
GP-Small,Homo sapiens,Sierra Leone,blood,2014/10/18,zaire
GP-Second,Homo sapiens,Sierra Leone,blood,2014/10/18,zaire
vp30,Homo sapiens,Sierra Leone,blood,2014/10/18,zaire
vp24,Homo sapiens,Sierra Leone,blood,2014/10/18,zaire
L,Homo sapiens,Sierra Leone,blood,2014/10/18,zaire
NP,Homo sapiens,Sierra Leone,blood,2014/10/23,zaire
vp35,Homo sapiens,Sierra Leone,blood,2014/10/23,zaire
vp40,Homo sapiens,Sierra Leone,blood,2014/10/23,zaire
GP-Spike,Homo sapiens,Sierra Leone,blood,2014/10/23,zaire
GP-Small,Homo sapiens,Sierra Leone,blood,2014/10/23,zaire
GP-Second,Homo sapiens,Sierra Leone,blood,2014/10/23,zaire
vp30,Homo sapiens,Sierra Leone,blood,2014/10/23,zaire
vp24,Homo sapiens,Sierra Leone,blood,2014/10/23,zaire
L,Homo sapiens,Sierra Leone,blood,2014/10/23,zaire
NP,Homo sapiens,Sierra Leone,blood,2014/10/23,zaire
vp35,Homo sapiens,Sierra Leone,blood,2014/10/23,zaire
vp40,Homo sapiens,Sierra Leone,blood,2014/10/23,zaire
GP-Spike,Homo sapiens,Sierra Leone,blood,2014/10/23,zaire
GP-Small,Homo sapiens,Sierra Leone,blood,2014/10/23,zaire
GP-Second,Homo sapiens,Sierra Leone,blood,2014/10/23,zaire
vp30,Homo sapiens,Sierra Leone,blood,2014/10/23,zaire
vp24,Homo sapiens,Sierra Leone,blood,2014/10/23,zaire
L,Homo sapiens,Sierra Leone,blood,2014/10/23,zaire
NP,Homo sapiens,Sierra Leone,blood,2014/10/24,zaire
vp35,Homo sapiens,Sierra Leone,blood,2014/10/24,zaire
vp40,Homo sapiens,Sierra Leone,blood,2014/10/24,zaire
GP-Spike,Homo sapiens,Sierra Leone,blood,2014/10/24,zaire
GP-Small,Homo sapiens,Sierra Leone,blood,2014/10/24,zaire
GP-Second,Homo sapiens,Sierra Leone,blood,2014/10/24,zaire
vp30,Homo sapiens,Sierra Leone,blood,2014/10/24,zaire
vp24,Homo sapiens,Sierra Leone,blood,2014/10/24,zaire
L,Homo sapiens,Sierra Leone,blood,2014/10/24,zaire
NP,Homo sapiens,Sierra Leone,blood,2014/10/26,zaire
vp35,Homo sapiens,Sierra Leone,blood,2014/10/26,zaire
vp40,Homo sapiens,Sierra Leone,blood,2014/10/26,zaire
GP-Spike,Homo sapiens,Sierra Leone,blood,2014/10/26,zaire
GP-Small,Homo sapiens,Sierra Leone,blood,2014/10/26,zaire
GP-Second,Homo sapiens,Sierra Leone,blood,2014/10/26,zaire
vp30,Homo sapiens,Sierra Leone,blood,2014/10/26,zaire
vp24,Homo sapiens,Sierra Leone,blood,2014/10/26,zaire
L,Homo sapiens,Sierra Leone,blood,2014/10/26,zaire
NP,Homo sapiens,Sierra Leone,blood,2014/10/25,zaire
vp35,Homo sapiens,Sierra Leone,blood,2014/10/25,zaire
vp40,Homo sapiens,Sierra Leone,blood,2014/10/25,zaire
GP-Spike,Homo sapiens,Sierra Leone,blood,2014/10/25,zaire
GP-Small,Homo sapiens,Sierra Leone,blood,2014/10/25,zaire
GP-Second,Homo sapiens,Sierra Leone,blood,2014/10/25,zaire
vp30,Homo sapiens,Sierra Leone,blood,2014/10/25,zaire
vp24,Homo sapiens,Sierra Leone,blood,2014/10/25,zaire
L,Homo sapiens,Sierra Leone,blood,2014/10/25,zaire
NP,Homo sapiens,Sierra Leone,blood,2014/10/24,zaire
vp35,Homo sapiens,Sierra Leone,blood,2014/10/24,zaire
vp40,Homo sapiens,Sierra Leone,blood,2014/10/24,zaire
GP-Spike,Homo sapiens,Sierra Leone,blood,2014/10/24,zaire
GP-Small,Homo sapiens,Sierra Leone,blood,2014/10/24,zaire
GP-Second,Homo sapiens,Sierra Leone,blood,2014/10/24,zaire
vp30,Homo sapiens,Sierra Leone,blood,2014/10/24,zaire
vp24,Homo sapiens,Sierra Leone,blood,2014/10/24,zaire
L,Homo sapiens,Sierra Leone,blood,2014/10/24,zaire
NP,Homo sapiens,Sierra Leone,blood,2014/10/25,zaire
vp35,Homo sapiens,Sierra Leone,blood,2014/10/25,zaire
vp40,Homo sapiens,Sierra Leone,blood,2014/10/25,zaire
GP-Spike,Homo sapiens,Sierra Leone,blood,2014/10/25,zaire
GP-Small,Homo sapiens,Sierra Leone,blood,2014/10/25,zaire
GP-Second,Homo sapiens,Sierra Leone,blood,2014/10/25,zaire
vp30,Homo sapiens,Sierra Leone,blood,2014/10/25,zaire
vp24,Homo sapiens,Sierra Leone,blood,2014/10/25,zaire
L,Homo sapiens,Sierra Leone,blood,2014/10/25,zaire
NP,Homo sapiens,Sierra Leone,blood,2014/10/27,zaire
vp35,Homo sapiens,Sierra Leone,blood,2014/10/27,zaire
vp40,Homo sapiens,Sierra Leone,blood,2014/10/27,zaire
GP-Spike,Homo sapiens,Sierra Leone,blood,2014/10/27,zaire
GP-Small,Homo sapiens,Sierra Leone,blood,2014/10/27,zaire
GP-Second,Homo sapiens,Sierra Leone,blood,2014/10/27,zaire
vp30,Homo sapiens,Sierra Leone,blood,2014/10/27,zaire
vp24,Homo sapiens,Sierra Leone,blood,2014/10/27,zaire
L,Homo sapiens,Sierra Leone,blood,2014/10/27,zaire
NP,Homo sapiens,Sierra Leone,blood,2014/10/28,zaire
vp35,Homo sapiens,Sierra Leone,blood,2014/10/28,zaire
vp40,Homo sapiens,Sierra Leone,blood,2014/10/28,zaire
GP-Spike,Homo sapiens,Sierra Leone,blood,2014/10/28,zaire
GP-Small,Homo sapiens,Sierra Leone,blood,2014/10/28,zaire
GP-Second,Homo sapiens,Sierra Leone,blood,2014/10/28,zaire
vp30,Homo sapiens,Sierra Leone,blood,2014/10/28,zaire
vp24,Homo sapiens,Sierra Leone,blood,2014/10/28,zaire
L,Homo sapiens,Sierra Leone,blood,2014/10/28,zaire
NP,Homo sapiens,Sierra Leone,blood,2014/10/29,zaire
vp35,Homo sapiens,Sierra Leone,blood,2014/10/29,zaire
vp40,Homo sapiens,Sierra Leone,blood,2014/10/29,zaire
GP-Spike,Homo sapiens,Sierra Leone,blood,2014/10/29,zaire
GP-Small,Homo sapiens,Sierra Leone,blood,2014/10/29,zaire
GP-Second,Homo sapiens,Sierra Leone,blood,2014/10/29,zaire
vp30,Homo sapiens,Sierra Leone,blood,2014/10/29,zaire
vp24,Homo sapiens,Sierra Leone,blood,2014/10/29,zaire
L,Homo sapiens,Sierra Leone,blood,2014/10/29,zaire
NP,Homo sapiens,Sierra Leone,blood,2014/10/30,zaire
vp35,Homo sapiens,Sierra Leone,blood,2014/10/30,zaire
vp40,Homo sapiens,Sierra Leone,blood,2014/10/30,zaire
GP-Spike,Homo sapiens,Sierra Leone,blood,2014/10/30,zaire
GP-Small,Homo sapiens,Sierra Leone,blood,2014/10/30,zaire
GP-Second,Homo sapiens,Sierra Leone,blood,2014/10/30,zaire
vp30,Homo sapiens,Sierra Leone,blood,2014/10/30,zaire
vp24,Homo sapiens,Sierra Leone,blood,2014/10/30,zaire
L,Homo sapiens,Sierra Leone,blood,2014/10/30,zaire
NP,Homo sapiens,Sierra Leone,blood,2014/10/31,zaire
vp35,Homo sapiens,Sierra Leone,blood,2014/10/31,zaire
vp40,Homo sapiens,Sierra Leone,blood,2014/10/31,zaire
GP-Spike,Homo sapiens,Sierra Leone,blood,2014/10/31,zaire
GP-Small,Homo sapiens,Sierra Leone,blood,2014/10/31,zaire
GP-Second,Homo sapiens,Sierra Leone,blood,2014/10/31,zaire
vp30,Homo sapiens,Sierra Leone,blood,2014/10/31,zaire
vp24,Homo sapiens,Sierra Leone,blood,2014/10/31,zaire
L,Homo sapiens,Sierra Leone,blood,2014/10/31,zaire
NP,Homo sapiens,Sierra Leone,blood,2014/11/01,zaire
vp35,Homo sapiens,Sierra Leone,blood,2014/11/01,zaire
vp40,Homo sapiens,Sierra Leone,blood,2014/11/01,zaire
GP-Spike,Homo sapiens,Sierra Leone,blood,2014/11/01,zaire
GP-Small,Homo sapiens,Sierra Leone,blood,2014/11/01,zaire
GP-Second,Homo sapiens,Sierra Leone,blood,2014/11/01,zaire
vp30,Homo sapiens,Sierra Leone,blood,2014/11/01,zaire
vp24,Homo sapiens,Sierra Leone,blood,2014/11/01,zaire
L,Homo sapiens,Sierra Leone,blood,2014/11/01,zaire
NP,Homo sapiens,Sierra Leone,blood,2014/11/01,zaire
vp35,Homo sapiens,Sierra Leone,blood,2014/11/01,zaire
vp40,Homo sapiens,Sierra Leone,blood,2014/11/01,zaire
GP-Spike,Homo sapiens,Sierra Leone,blood,2014/11/01,zaire
GP-Small,Homo sapiens,Sierra Leone,blood,2014/11/01,zaire
GP-Second,Homo sapiens,Sierra Leone,blood,2014/11/01,zaire
vp30,Homo sapiens,Sierra Leone,blood,2014/11/01,zaire
vp24,Homo sapiens,Sierra Leone,blood,2014/11/01,zaire
L,Homo sapiens,Sierra Leone,blood,2014/11/01,zaire
NP,Homo sapiens,Sierra Leone,blood,2014/11/01,zaire
vp35,Homo sapiens,Sierra Leone,blood,2014/11/01,zaire
vp40,Homo sapiens,Sierra Leone,blood,2014/11/01,zaire
GP-Spike,Homo sapiens,Sierra Leone,blood,2014/11/01,zaire
GP-Small,Homo sapiens,Sierra Leone,blood,2014/11/01,zaire
GP-Second,Homo sapiens,Sierra Leone,blood,2014/11/01,zaire
vp30,Homo sapiens,Sierra Leone,blood,2014/11/01,zaire
vp24,Homo sapiens,Sierra Leone,blood,2014/11/01,zaire
L,Homo sapiens,Sierra Leone,blood,2014/11/01,zaire
NP,Homo sapiens,Sierra Leone,blood,2014/11/03,zaire
vp35,Homo sapiens,Sierra Leone,blood,2014/11/03,zaire
vp40,Homo sapiens,Sierra Leone,blood,2014/11/03,zaire
GP-Spike,Homo sapiens,Sierra Leone,blood,2014/11/03,zaire
GP-Small,Homo sapiens,Sierra Leone,blood,2014/11/03,zaire
GP-Second,Homo sapiens,Sierra Leone,blood,2014/11/03,zaire
vp30,Homo sapiens,Sierra Leone,blood,2014/11/03,zaire
vp24,Homo sapiens,Sierra Leone,blood,2014/11/03,zaire
L,Homo sapiens,Sierra Leone,blood,2014/11/03,zaire
NP,Homo sapiens,Sierra Leone,blood,2014/11/03,zaire
vp35,Homo sapiens,Sierra Leone,blood,2014/11/03,zaire
vp40,Homo sapiens,Sierra Leone,blood,2014/11/03,zaire
GP-Spike,Homo sapiens,Sierra Leone,blood,2014/11/03,zaire
GP-Small,Homo sapiens,Sierra Leone,blood,2014/11/03,zaire
GP-Second,Homo sapiens,Sierra Leone,blood,2014/11/03,zaire
vp30,Homo sapiens,Sierra Leone,blood,2014/11/03,zaire
vp24,Homo sapiens,Sierra Leone,blood,2014/11/03,zaire
L,Homo sapiens,Sierra Leone,blood,2014/11/03,zaire
NP,Homo sapiens,Sierra Leone,blood,2014/11/04,zaire
vp35,Homo sapiens,Sierra Leone,blood,2014/11/04,zaire
vp40,Homo sapiens,Sierra Leone,blood,2014/11/04,zaire
GP-Spike,Homo sapiens,Sierra Leone,blood,2014/11/04,zaire
GP-Small,Homo sapiens,Sierra Leone,blood,2014/11/04,zaire
GP-Second,Homo sapiens,Sierra Leone,blood,2014/11/04,zaire
vp30,Homo sapiens,Sierra Leone,blood,2014/11/04,zaire
vp24,Homo sapiens,Sierra Leone,blood,2014/11/04,zaire
L,Homo sapiens,Sierra Leone,blood,2014/11/04,zaire
NP,Homo sapiens,Sierra Leone,blood,2014/11/05,zaire
vp35,Homo sapiens,Sierra Leone,blood,2014/11/05,zaire
vp40,Homo sapiens,Sierra Leone,blood,2014/11/05,zaire
GP-Spike,Homo sapiens,Sierra Leone,blood,2014/11/05,zaire
GP-Small,Homo sapiens,Sierra Leone,blood,2014/11/05,zaire
GP-Second,Homo sapiens,Sierra Leone,blood,2014/11/05,zaire
vp30,Homo sapiens,Sierra Leone,blood,2014/11/05,zaire
vp24,Homo sapiens,Sierra Leone,blood,2014/11/05,zaire
L,Homo sapiens,Sierra Leone,blood,2014/11/05,zaire
NP,Homo sapiens,Sierra Leone,blood,2014/11/05,zaire
vp35,Homo sapiens,Sierra Leone,blood,2014/11/05,zaire
vp40,Homo sapiens,Sierra Leone,blood,2014/11/05,zaire
GP-Spike,Homo sapiens,Sierra Leone,blood,2014/11/05,zaire
GP-Small,Homo sapiens,Sierra Leone,blood,2014/11/05,zaire
GP-Second,Homo sapiens,Sierra Leone,blood,2014/11/05,zaire
vp30,Homo sapiens,Sierra Leone,blood,2014/11/05,zaire
vp24,Homo sapiens,Sierra Leone,blood,2014/11/05,zaire
L,Homo sapiens,Sierra Leone,blood,2014/11/05,zaire
NP,Homo sapiens,Sierra Leone,blood,2014/11/06,zaire
vp35,Homo sapiens,Sierra Leone,blood,2014/11/06,zaire
vp40,Homo sapiens,Sierra Leone,blood,2014/11/06,zaire
GP-Spike,Homo sapiens,Sierra Leone,blood,2014/11/06,zaire
GP-Small,Homo sapiens,Sierra Leone,blood,2014/11/06,zaire
GP-Second,Homo sapiens,Sierra Leone,blood,2014/11/06,zaire
vp30,Homo sapiens,Sierra Leone,blood,2014/11/06,zaire
vp24,Homo sapiens,Sierra Leone,blood,2014/11/06,zaire
L,Homo sapiens,Sierra Leone,blood,2014/11/06,zaire
NP,Homo sapiens,Sierra Leone,blood,2014/11/07,zaire
vp35,Homo sapiens,Sierra Leone,blood,2014/11/07,zaire
vp40,Homo sapiens,Sierra Leone,blood,2014/11/07,zaire
GP-Spike,Homo sapiens,Sierra Leone,blood,2014/11/07,zaire
GP-Small,Homo sapiens,Sierra Leone,blood,2014/11/07,zaire
GP-Second,Homo sapiens,Sierra Leone,blood,2014/11/07,zaire
vp30,Homo sapiens,Sierra Leone,blood,2014/11/07,zaire
vp24,Homo sapiens,Sierra Leone,blood,2014/11/07,zaire
L,Homo sapiens,Sierra Leone,blood,2014/11/07,zaire
NP,Homo sapiens,Sierra Leone,blood,2014/11/07,zaire
vp35,Homo sapiens,Sierra Leone,blood,2014/11/07,zaire
vp40,Homo sapiens,Sierra Leone,blood,2014/11/07,zaire
GP-Spike,Homo sapiens,Sierra Leone,blood,2014/11/07,zaire
GP-Small,Homo sapiens,Sierra Leone,blood,2014/11/07,zaire
GP-Second,Homo sapiens,Sierra Leone,blood,2014/11/07,zaire
vp30,Homo sapiens,Sierra Leone,blood,2014/11/07,zaire
vp24,Homo sapiens,Sierra Leone,blood,2014/11/07,zaire
L,Homo sapiens,Sierra Leone,blood,2014/11/07,zaire
NP,Homo sapiens,Sierra Leone,blood,2014/11/08,zaire
vp35,Homo sapiens,Sierra Leone,blood,2014/11/08,zaire
vp40,Homo sapiens,Sierra Leone,blood,2014/11/08,zaire
GP-Spike,Homo sapiens,Sierra Leone,blood,2014/11/08,zaire
GP-Small,Homo sapiens,Sierra Leone,blood,2014/11/08,zaire
GP-Second,Homo sapiens,Sierra Leone,blood,2014/11/08,zaire
vp30,Homo sapiens,Sierra Leone,blood,2014/11/08,zaire
vp24,Homo sapiens,Sierra Leone,blood,2014/11/08,zaire
L,Homo sapiens,Sierra Leone,blood,2014/11/08,zaire
NP,Homo sapiens,Sierra Leone,blood,2014/11/12,zaire
vp35,Homo sapiens,Sierra Leone,blood,2014/11/12,zaire
vp40,Homo sapiens,Sierra Leone,blood,2014/11/12,zaire
GP-Spike,Homo sapiens,Sierra Leone,blood,2014/11/12,zaire
GP-Small,Homo sapiens,Sierra Leone,blood,2014/11/12,zaire
GP-Second,Homo sapiens,Sierra Leone,blood,2014/11/12,zaire
vp30,Homo sapiens,Sierra Leone,blood,2014/11/12,zaire
vp24,Homo sapiens,Sierra Leone,blood,2014/11/12,zaire
L,Homo sapiens,Sierra Leone,blood,2014/11/12,zaire
NP,Homo sapiens,Sierra Leone,blood,2014/11/12,zaire
vp35,Homo sapiens,Sierra Leone,blood,2014/11/12,zaire
vp40,Homo sapiens,Sierra Leone,blood,2014/11/12,zaire
GP-Spike,Homo sapiens,Sierra Leone,blood,2014/11/12,zaire
GP-Small,Homo sapiens,Sierra Leone,blood,2014/11/12,zaire
GP-Second,Homo sapiens,Sierra Leone,blood,2014/11/12,zaire
vp30,Homo sapiens,Sierra Leone,blood,2014/11/12,zaire
vp24,Homo sapiens,Sierra Leone,blood,2014/11/12,zaire
L,Homo sapiens,Sierra Leone,blood,2014/11/12,zaire
NP,Homo sapiens,Sierra Leone,blood,2014/11/15,zaire
vp35,Homo sapiens,Sierra Leone,blood,2014/11/15,zaire
vp40,Homo sapiens,Sierra Leone,blood,2014/11/15,zaire
GP-Spike,Homo sapiens,Sierra Leone,blood,2014/11/15,zaire
GP-Small,Homo sapiens,Sierra Leone,blood,2014/11/15,zaire
GP-Second,Homo sapiens,Sierra Leone,blood,2014/11/15,zaire
vp30,Homo sapiens,Sierra Leone,blood,2014/11/15,zaire
vp24,Homo sapiens,Sierra Leone,blood,2014/11/15,zaire
L,Homo sapiens,Sierra Leone,blood,2014/11/15,zaire
NP,Homo sapiens,Sierra Leone,blood,2014/11/15,zaire
vp35,Homo sapiens,Sierra Leone,blood,2014/11/15,zaire
vp40,Homo sapiens,Sierra Leone,blood,2014/11/15,zaire
GP-Spike,Homo sapiens,Sierra Leone,blood,2014/11/15,zaire
GP-Small,Homo sapiens,Sierra Leone,blood,2014/11/15,zaire
GP-Second,Homo sapiens,Sierra Leone,blood,2014/11/15,zaire
vp30,Homo sapiens,Sierra Leone,blood,2014/11/15,zaire
vp24,Homo sapiens,Sierra Leone,blood,2014/11/15,zaire
L,Homo sapiens,Sierra Leone,blood,2014/11/15,zaire
NP,Homo sapiens,Sierra Leone,blood,2014/11/14,zaire
vp35,Homo sapiens,Sierra Leone,blood,2014/11/14,zaire
vp40,Homo sapiens,Sierra Leone,blood,2014/11/14,zaire
GP-Spike,Homo sapiens,Sierra Leone,blood,2014/11/14,zaire
GP-Small,Homo sapiens,Sierra Leone,blood,2014/11/14,zaire
GP-Second,Homo sapiens,Sierra Leone,blood,2014/11/14,zaire
vp30,Homo sapiens,Sierra Leone,blood,2014/11/14,zaire
vp24,Homo sapiens,Sierra Leone,blood,2014/11/14,zaire
L,Homo sapiens,Sierra Leone,blood,2014/11/14,zaire
NP,Homo sapiens,Sierra Leone,blood,2014/11/13,zaire
vp35,Homo sapiens,Sierra Leone,blood,2014/11/13,zaire
vp40,Homo sapiens,Sierra Leone,blood,2014/11/13,zaire
GP-Spike,Homo sapiens,Sierra Leone,blood,2014/11/13,zaire
GP-Small,Homo sapiens,Sierra Leone,blood,2014/11/13,zaire
GP-Second,Homo sapiens,Sierra Leone,blood,2014/11/13,zaire
vp30,Homo sapiens,Sierra Leone,blood,2014/11/13,zaire
vp24,Homo sapiens,Sierra Leone,blood,2014/11/13,zaire
L,Homo sapiens,Sierra Leone,blood,2014/11/13,zaire
NP,Homo sapiens,Sierra Leone,blood,2014/11/25,zaire
vp35,Homo sapiens,Sierra Leone,blood,2014/11/25,zaire
vp40,Homo sapiens,Sierra Leone,blood,2014/11/25,zaire
GP-Spike,Homo sapiens,Sierra Leone,blood,2014/11/25,zaire
GP-Small,Homo sapiens,Sierra Leone,blood,2014/11/25,zaire
GP-Second,Homo sapiens,Sierra Leone,blood,2014/11/25,zaire
vp30,Homo sapiens,Sierra Leone,blood,2014/11/25,zaire
vp24,Homo sapiens,Sierra Leone,blood,2014/11/25,zaire
L,Homo sapiens,Sierra Leone,blood,2014/11/25,zaire
NP,Homo sapiens,Sierra Leone,blood,2014/11/26,zaire
vp35,Homo sapiens,Sierra Leone,blood,2014/11/26,zaire
vp40,Homo sapiens,Sierra Leone,blood,2014/11/26,zaire
GP-Spike,Homo sapiens,Sierra Leone,blood,2014/11/26,zaire
GP-Small,Homo sapiens,Sierra Leone,blood,2014/11/26,zaire
GP-Second,Homo sapiens,Sierra Leone,blood,2014/11/26,zaire
vp30,Homo sapiens,Sierra Leone,blood,2014/11/26,zaire
vp24,Homo sapiens,Sierra Leone,blood,2014/11/26,zaire
L,Homo sapiens,Sierra Leone,blood,2014/11/26,zaire
NP,Homo sapiens,Sierra Leone,blood,2014/11/24,zaire
vp35,Homo sapiens,Sierra Leone,blood,2014/11/24,zaire
vp40,Homo sapiens,Sierra Leone,blood,2014/11/24,zaire
GP-Spike,Homo sapiens,Sierra Leone,blood,2014/11/24,zaire
GP-Small,Homo sapiens,Sierra Leone,blood,2014/11/24,zaire
GP-Second,Homo sapiens,Sierra Leone,blood,2014/11/24,zaire
vp30,Homo sapiens,Sierra Leone,blood,2014/11/24,zaire
vp24,Homo sapiens,Sierra Leone,blood,2014/11/24,zaire
L,Homo sapiens,Sierra Leone,blood,2014/11/24,zaire
NP,Homo sapiens,Sierra Leone,blood,2014/12/22,zaire
vp35,Homo sapiens,Sierra Leone,blood,2014/12/22,zaire
vp40,Homo sapiens,Sierra Leone,blood,2014/12/22,zaire
GP-Spike,Homo sapiens,Sierra Leone,blood,2014/12/22,zaire
GP-Small,Homo sapiens,Sierra Leone,blood,2014/12/22,zaire
GP-Second,Homo sapiens,Sierra Leone,blood,2014/12/22,zaire
vp30,Homo sapiens,Sierra Leone,blood,2014/12/22,zaire
vp24,Homo sapiens,Sierra Leone,blood,2014/12/22,zaire
L,Homo sapiens,Sierra Leone,blood,2014/12/22,zaire
NP,Homo sapiens,Sierra Leone,blood,2014/12/26,zaire
vp35,Homo sapiens,Sierra Leone,blood,2014/12/26,zaire
vp40,Homo sapiens,Sierra Leone,blood,2014/12/26,zaire
GP-Spike,Homo sapiens,Sierra Leone,blood,2014/12/26,zaire
GP-Small,Homo sapiens,Sierra Leone,blood,2014/12/26,zaire
GP-Second,Homo sapiens,Sierra Leone,blood,2014/12/26,zaire
vp30,Homo sapiens,Sierra Leone,blood,2014/12/26,zaire
vp24,Homo sapiens,Sierra Leone,blood,2014/12/26,zaire
L,Homo sapiens,Sierra Leone,blood,2014/12/26,zaire
NP,Homo sapiens,Sierra Leone,blood,2014/05/25,zaire
vp35,Homo sapiens,Sierra Leone,blood,2014/05/25,zaire
vp40,Homo sapiens,Sierra Leone,blood,2014/05/25,zaire
GP-Spike,Homo sapiens,Sierra Leone,blood,2014/05/25,zaire
GP-Small,Homo sapiens,Sierra Leone,blood,2014/05/25,zaire
GP-Second,Homo sapiens,Sierra Leone,blood,2014/05/25,zaire
vp30,Homo sapiens,Sierra Leone,blood,2014/05/25,zaire
vp24,Homo sapiens,Sierra Leone,blood,2014/05/25,zaire
L,Homo sapiens,Sierra Leone,blood,2014/05/25,zaire
NP,Homo sapiens,Sierra Leone,blood,2014/05/25,zaire
vp35,Homo sapiens,Sierra Leone,blood,2014/05/25,zaire
vp40,Homo sapiens,Sierra Leone,blood,2014/05/25,zaire
GP-Spike,Homo sapiens,Sierra Leone,blood,2014/05/25,zaire
GP-Small,Homo sapiens,Sierra Leone,blood,2014/05/25,zaire
GP-Second,Homo sapiens,Sierra Leone,blood,2014/05/25,zaire
vp30,Homo sapiens,Sierra Leone,blood,2014/05/25,zaire
vp24,Homo sapiens,Sierra Leone,blood,2014/05/25,zaire
L,Homo sapiens,Sierra Leone,blood,2014/05/25,zaire
NP,Homo sapiens,Sierra Leone,blood,2014/05/26,zaire
vp35,Homo sapiens,Sierra Leone,blood,2014/05/26,zaire
vp40,Homo sapiens,Sierra Leone,blood,2014/05/26,zaire
GP-Spike,Homo sapiens,Sierra Leone,blood,2014/05/26,zaire
GP-Small,Homo sapiens,Sierra Leone,blood,2014/05/26,zaire
GP-Second,Homo sapiens,Sierra Leone,blood,2014/05/26,zaire
vp30,Homo sapiens,Sierra Leone,blood,2014/05/26,zaire
vp24,Homo sapiens,Sierra Leone,blood,2014/05/26,zaire
L,Homo sapiens,Sierra Leone,blood,2014/05/26,zaire
NP,Homo sapiens,Sierra Leone,blood,2014/05/26,zaire
vp35,Homo sapiens,Sierra Leone,blood,2014/05/26,zaire
vp40,Homo sapiens,Sierra Leone,blood,2014/05/26,zaire
GP-Spike,Homo sapiens,Sierra Leone,blood,2014/05/26,zaire
GP-Small,Homo sapiens,Sierra Leone,blood,2014/05/26,zaire
GP-Second,Homo sapiens,Sierra Leone,blood,2014/05/26,zaire
vp30,Homo sapiens,Sierra Leone,blood,2014/05/26,zaire
vp24,Homo sapiens,Sierra Leone,blood,2014/05/26,zaire
L,Homo sapiens,Sierra Leone,blood,2014/05/26,zaire
NP,Homo sapiens,Sierra Leone,blood,2014/05/27,zaire
vp35,Homo sapiens,Sierra Leone,blood,2014/05/27,zaire
vp40,Homo sapiens,Sierra Leone,blood,2014/05/27,zaire
GP-Spike,Homo sapiens,Sierra Leone,blood,2014/05/27,zaire
GP-Small,Homo sapiens,Sierra Leone,blood,2014/05/27,zaire
GP-Second,Homo sapiens,Sierra Leone,blood,2014/05/27,zaire
vp30,Homo sapiens,Sierra Leone,blood,2014/05/27,zaire
vp24,Homo sapiens,Sierra Leone,blood,2014/05/27,zaire
L,Homo sapiens,Sierra Leone,blood,2014/05/27,zaire
NP,Homo sapiens,Sierra Leone,blood,2014/05/27,zaire
vp35,Homo sapiens,Sierra Leone,blood,2014/05/27,zaire
vp40,Homo sapiens,Sierra Leone,blood,2014/05/27,zaire
GP-Spike,Homo sapiens,Sierra Leone,blood,2014/05/27,zaire
GP-Small,Homo sapiens,Sierra Leone,blood,2014/05/27,zaire
GP-Second,Homo sapiens,Sierra Leone,blood,2014/05/27,zaire
vp30,Homo sapiens,Sierra Leone,blood,2014/05/27,zaire
vp24,Homo sapiens,Sierra Leone,blood,2014/05/27,zaire
L,Homo sapiens,Sierra Leone,blood,2014/05/27,zaire
NP,Homo sapiens,Sierra Leone,blood,2014/06/06,zaire
vp35,Homo sapiens,Sierra Leone,blood,2014/06/06,zaire
vp40,Homo sapiens,Sierra Leone,blood,2014/06/06,zaire
GP-Spike,Homo sapiens,Sierra Leone,blood,2014/06/06,zaire
GP-Small,Homo sapiens,Sierra Leone,blood,2014/06/06,zaire
GP-Second,Homo sapiens,Sierra Leone,blood,2014/06/06,zaire
vp30,Homo sapiens,Sierra Leone,blood,2014/06/06,zaire
vp24,Homo sapiens,Sierra Leone,blood,2014/06/06,zaire
L,Homo sapiens,Sierra Leone,blood,2014/06/06,zaire
NP,Homo sapiens,Sierra Leone,blood,2014/05/26,zaire
vp35,Homo sapiens,Sierra Leone,blood,2014/05/26,zaire
