genome_region,host,country,isolation,collection_date,strain
vp30,Sus scrofa,Philippines,lung,2008,reston
vp24,Sus scrofa,Philippines,lung,2008,reston
L,Sus scrofa,Philippines,lung,2008,reston
NP,Sus scrofa,Philippines,lymph,2008,reston
vp35,Sus scrofa,Philippines,lymph,2008,reston
vp40,Sus scrofa,Philippines,lymph,2008,reston
GP-Small,Sus scrofa,Philippines,lymph,2008,reston
GP-Spike,Sus scrofa,Philippines,lymph,2008,reston
vp30,Sus scrofa,Philippines,lymph,2008,reston
vp24,Sus scrofa,Philippines,lymph,2008,reston
L,Sus scrofa,Philippines,lymph,2008,reston
NP,Sus scrofa,Philippines,lung,2009,reston
vp35,Sus scrofa,Philippines,lung,2009,reston
vp40,Sus scrofa,Philippines,lung,2009,reston
GP-Small,Sus scrofa,Philippines,lung,2009,reston
GP-Spike,Sus scrofa,Philippines,lung,2009,reston
vp30,Sus scrofa,Philippines,lung,2009,reston
vp24,Sus scrofa,Philippines,lung,2009,reston
L,Sus scrofa,Philippines,lung,2009,reston
NP,Primates,USA,NA,1996,reston
vp35,Primates,USA,NA,1996,reston
vp40,Primates,USA,NA,1996,reston
vp30,Primates,USA,NA,1996,reston
vp24,Primates,USA,NA,1996,reston
L,Primates,USA,NA,1996,reston
GP-Small,Primates,USA,NA,1996,reston
GP-Spike,Primates,USA,NA,1996,reston
NP,Sus scrofa,Philippines,NA,2009,reston
vp35,Sus scrofa,Philippines,NA,2009,reston
vp40,Sus scrofa,Philippines,NA,2009,reston
vp30,Sus scrofa,Philippines,NA,2009,reston
vp24,Sus scrofa,Philippines,NA,2009,reston
L,Sus scrofa,Philippines,NA,2009,reston
GP-Small,Sus scrofa,Philippines,NA,2009,reston
GP-Spike,Sus scrofa,Philippines,NA,2009,reston
L,Macaca fascicularis,Philippines,lymph,2015/09/05,reston
NP,Macaca fascicularis,Philippines,lymph,2015/09/05,reston
L,Macaca fascicularis,Philippines,"liver,abdominal cavity",2015/08/27,reston
L,Macaca fascicularis,Philippines,"spleen,abdominal cavity",2015/08/27,reston
NP,Macaca fascicularis,Philippines,"liver,abdominal cavity",2015/08/27,reston
NP,Macaca fascicularis,Philippines,"spleen,abdominal cavity",2015/08/27,reston
L,Macaca fascicularis,Philippines,lymph,2015/08/27,reston
NP,Macaca fascicularis,Philippines,lymph,2015/08/27,reston
L,Macaca fascicularis,Philippines,lymph,2015/09/05,reston
NP,Macaca fascicularis,Philippines,lymph,2015/09/05,reston
L,Macaca fascicularis,Philippines,lymph,2015/09/05,reston
L,Macaca fascicularis,Philippines,lymph,2015/09/05,reston
L,Macaca fascicularis,Philippines,lymph,2015/09/05,reston
L,Macaca fascicularis,Philippines,lymph,2015/09/05,reston
NP,Macaca fascicularis,Philippines,lymph,2015/09/05,reston
NP,Macaca fascicularis,Philippines,lymph,2015/09/05,reston
NP,Macaca fascicularis,Philippines,lymph,2015/09/05,reston
NP,Macaca fascicularis,Philippines,lymph,2015/09/05,reston
NP,Macaca fascicularis,USA,"liver,abdominal cavity",1989,reston
vp35,Macaca fascicularis,USA,"liver,abdominal cavity",1989,reston
vp40,Macaca fascicularis,USA,"liver,abdominal cavity",1989,reston
GP-Small,Macaca fascicularis,USA,"liver,abdominal cavity",1989,reston
GP-Spike,Macaca fascicularis,USA,"liver,abdominal cavity",1989,reston
vp30,Macaca fascicularis,USA,"liver,abdominal cavity",1989,reston
vp24,Macaca fascicularis,USA,"liver,abdominal cavity",1989,reston
L,Macaca fascicularis,USA,"liver,abdominal cavity",1989,reston
NP,Macaca fascicularis,USA,"liver,abdominal cavity",1996,reston
vp35,Macaca fascicularis,USA,"liver,abdominal cavity",1996,reston
vp40,Macaca fascicularis,USA,"liver,abdominal cavity",1996,reston
GP-Small,Macaca fascicularis,USA,"liver,abdominal cavity",1996,reston
GP-Spike,Macaca fascicularis,USA,"liver,abdominal cavity",1996,reston
vp30,Macaca fascicularis,USA,"liver,abdominal cavity",1996,reston
vp24,Macaca fascicularis,USA,"liver,abdominal cavity",1996,reston
L,Macaca fascicularis,USA,"liver,abdominal cavity",1996,reston
NP,Macaca fascicularis,USA,blood,1989,reston
vp35,Macaca fascicularis,USA,blood,1989,reston
vp40,Macaca fascicularis,USA,blood,1989,reston
GP-Small,Macaca fascicularis,USA,blood,1989,reston
GP-Spike,Macaca fascicularis,USA,blood,1989,reston
vp30,Macaca fascicularis,USA,blood,1989,reston
vp24,Macaca fascicularis,USA,blood,1989,reston
L,Macaca fascicularis,USA,blood,1989,reston
NP,Homo sapiens,USA,blood,1989,reston
vp35,Homo sapiens,USA,blood,1989,reston
vp40,Homo sapiens,USA,blood,1989,reston
GP-Small,Homo sapiens,USA,blood,1989,reston
GP-Spike,Homo sapiens,USA,blood,1989,reston
vp30,Homo sapiens,USA,blood,1989,reston
vp24,Homo sapiens,USA,blood,1989,reston
L,Homo sapiens,USA,blood,1989,reston
NP,NA,NA,NA,NA,reston
vp35,NA,NA,NA,NA,reston
vp40,NA,NA,NA,NA,reston
GP-Spike,NA,NA,NA,NA,reston
GP-Small,NA,NA,NA,NA,reston
vp30,NA,NA,NA,NA,reston
vp24,NA,NA,NA,NA,reston
L,NA,NA,NA,NA,reston
NP,Macaca fascicularis,USA,NA,1989,reston
vp35,Macaca fascicularis,USA,NA,1989,reston
vp40,Macaca fascicularis,USA,NA,1989,reston
GP-Spike,Macaca fascicularis,USA,NA,1989,reston
GP-Small,Macaca fascicularis,USA,NA,1989,reston
GP-Second,Macaca fascicularis,USA,NA,1989,reston
vp30,Macaca fascicularis,USA,NA,1989,reston
vp24,Macaca fascicularis,USA,NA,1989,reston
L,Macaca fascicularis,USA,NA,1989,reston
vp35,NA,Democratic Republic of the Congo,NA,1976,zaire
vp40,NA,Democratic Republic of the Congo,NA,1976,zaire
GP-Small,NA,Democratic Republic of the Congo,NA,1976,zaire
GP-Spike,NA,Democratic Republic of the Congo,NA,1976,zaire
GP-Second,NA,Democratic Republic of the Congo,NA,1976,zaire
vp30,NA,Democratic Republic of the Congo,NA,1976,zaire
vp24,NA,Democratic Republic of the Congo,NA,1976,zaire
L,NA,Democratic Republic of the Congo,NA,1976,zaire
NP,NA,Democratic Republic of the Congo,NA,1976,zaire
NP,NA,Sierra Leone,NA,2014/08/26,zaire
vp35,NA,Sierra Leone,NA,2014/08/26,zaire
vp40,NA,Sierra Leone,NA,2014/08/26,zaire
GP-Spike,NA,Sierra Leone,NA,2014/08/26,zaire
GP-Small,NA,Sierra Leone,NA,2014/08/26,zaire
GP-Second,NA,Sierra Leone,NA,2014/08/26,zaire
vp30,NA,Sierra Leone,NA,2014/08/26,zaire
vp24,NA,Sierra Leone,NA,2014/08/26,zaire
L,NA,Sierra Leone,NA,2014/08/26,zaire
NP,NA,Sierra Leone,NA,2014/08/26,zaire
vp35,NA,Sierra Leone,NA,2014/08/26,zaire
vp40,NA,Sierra Leone,NA,2014/08/26,zaire
GP-Spike,NA,Sierra Leone,NA,2014/08/26,zaire
GP-Small,NA,Sierra Leone,NA,2014/08/26,zaire
GP-Second,NA,Sierra Leone,NA,2014/08/26,zaire
vp30,NA,Sierra Leone,NA,2014/08/26,zaire
vp24,NA,Sierra Leone,NA,2014/08/26,zaire
L,NA,Sierra Leone,NA,2014/08/26,zaire
NP,NA,Sierra Leone,NA,2014/08/26,zaire
vp35,NA,Sierra Leone,NA,2014/08/26,zaire
vp40,NA,Sierra Leone,NA,2014/08/26,zaire
GP-Spike,NA,Sierra Leone,NA,2014/08/26,zaire
GP-Small,NA,Sierra Leone,NA,2014/08/26,zaire
GP-Second,NA,Sierra Leone,NA,2014/08/26,zaire
vp30,NA,Sierra Leone,NA,2014/08/26,zaire
vp24,NA,Sierra Leone,NA,2014/08/26,zaire
L,NA,Sierra Leone,NA,2014/08/26,zaire
NP,NA,Sierra Leone,NA,2014/08/26,zaire
vp35,NA,Sierra Leone,NA,2014/08/26,zaire
vp40,NA,Sierra Leone,NA,2014/08/26,zaire
GP-Spike,NA,Sierra Leone,NA,2014/08/26,zaire
GP-Small,NA,Sierra Leone,NA,2014/08/26,zaire
GP-Second,NA,Sierra Leone,NA,2014/08/26,zaire
